Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Aviva,Britains largest general insurer and a leading life and pensions provider.,Aviva invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't keep your pension with Aviva. Don't use Aviva insurance products. Don't work for Aviva.,Search for local ethical investment providers and insurers.,https://i0.wp.com/fourteenten.com/wp-content/uploads/2017/03/AVIVA-Client-Logo-Image.png
AXA,AXA is a French multinational insurance firm.,AXA continues to invest in Israeli banks which are complicit in Israels occupation and apartheid in Palestine.,https://bdsmovement.net/news/axa-continues-investments-in-israeli-apartheid-boycott-axa-now,"Don't take insurance from Axa. If you already have AXA insurance, switch as soon as you can. Don't work for AXA.",,https://www.tabletalkmedia.co.uk/wp-content/uploads/2015/03/axa.png
Barclays,"British multinational universal bank, headquartered in London.",Barclays invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with Barclays. Close your Barclays accounts. Don't use Barclays lending options. Cancel your Barclaycard. Don't work for Barclays.,TSB Bank. Monzo Bank.,https://www.openbanking.org.uk/wp-content/uploads/2021/04/Barclays-Bank-logo.png
HSBC,"British multinational universal bank and financial service provider, headquartered in London.",HSBC invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with HSBC. Close your HSBC accounts. Don't use HSBC lending options. Cancel your HSBC credit cards. Don't work for HSBC.,TSB Bank. Monzo Bank.,https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Square-1200x1200px.jpg
Legal & General,British multinational financial services and asset management company headquartered in London.,Legal & General invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't invest with Legal & General. Don't keep your pension with Legal & General. Don't use Legal & General insurance products. Don't work for Legal & General.,,https://upload.wikimedia.org/wikipedia/commons/3/37/L%26G_Logo_4C_2023.png
Lloyds Bank,British retail and commercial bank with branches across England and Wales.,Lloyds invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with Lloyds. Close your Lloyds accounts. Don't use Lloyds lending options. Cancel your Lloyds credit cards. Don't work for Lloyds.,TSB Bank. Monzo.,https://www.lloydsbankinggroup.com/assets/images/site-wide/logos/png/lloyds-bank-300.png
Marks and Spencer / M&S,"British multinational retailer that specialises in selling clothing, beauty products, home products and food products.","Marks & Spencer has been a pro zionist entity since its inception, with various members of its management openly declaring support for the zionist state. For over 100 years, they have been the biggest commercial conduit between Israel and the UK. More recently however, they have publicly distanced themselves from having 'political' ties and aims. And since the last statements in support of Israel were around the year 2000, it is difficult to tell how much their leadership supports Israel.",https://www.ihrc.org.uk/briefing-a-brief-chronology-of-the-marks-spencer-israel-relationship/,Don't shop at M&S. Don't work for M&S.,Asda. Co-op.,https://corporate.marksandspencer.com/sites/marksandspencer/files/styles/desktop/public/marksandspencer/logos/m-s-logo.png
RBS,Major retail and commercial bank based in Scotland.,RBS invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with RBS. Close your RBS accounts. Don't use RBS lending options. Cancel your RBS credit cards. Don't work for RBS.,TSB Bank. Monzo Bank.,https://www.princessroyaltrainingawards.com/wp-content/uploads/2017/08/Logos-510x288-RBS.jpg
Standard Life,"Life assurance, pensions and long-terms savings company in the UK which is owned by Phoenix Group.",Standard Life invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't save or invest with Standard Life. Don't keep your pension with Standard Life. Don't use Standard Life insurance products. Don't work for Standard Life.,,https://www.lincs-chamber.co.uk/wp-content/uploads/2018/02/Standard-Life-Assurance-logo.png
Tesco,British multinational groceries and general merchandise retailer,"Tesco is partnering with an Israeli start, Trigo Retail, up to deliver till-less stores with several already open in London. Michael Gabay, the CEO of Trigo is a staunch zionist.",https://www.businesswire.com/news/home/20211018005203/en/Trigo-Powers-Fully-Autonomous-Tesco-Grocery-Store-in-Central-London,"Dont buy Tesco products, especially from their GetGo stores. Pressure Tesco to drop their partnership with Trigo, and to choose a local partner instead.",Asda. Co-op. Aldi. Lidl.,https://assets.website-files.com/622733c59bf20d8a074764f6/622733c59bf20dbdf4476887_Tesco.png
