Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Aesop,"Beauty brand, owned by L'Oreal.","Aesop is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Aesop products. Don't sell Aesop products. Don't work for L'Oreal Groupe.,Lush cosmetics. Huda beauty.,https://brandlogos.net/wp-content/uploads/2022/05/aesop-logo_brandlogos.net_pedrx.png
Ahava,Dead Sea mineral products.,"Ahava is an Israeli company which operates its manufacturing facilities in Occupied Palestine, stealing resources from the Dead Sea.",https://electronicintifada.net/content/boycott-ahava-dead-sea-products-makes-impact/8563,Don't buy Ahava products. Don't sell Ahava products.,Lush cosmetics.,https://www.luxurylabcosmetics.it/wp-content/uploads/2019/06/logos-HP_ahava.jpg
Amika,Hair care brand.,Manufactured on occupied Palestinian land.,https://heatmakessense.zendesk.com/hc/en-us/articles/4406612273563-Where-are-amika-products-made-,Don't buy Amika products. Don't sell Amika products.,Supermarket own brand products. Lush cosmetics.,https://www.loveamika.co.uk/c-images/fb-image.png
Aussie,Hair care brand.,"Aussie is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy aussie products. Don't sell aussie products. Don't work for aussie.,Supermarket own brand products. Lush cosmetics.,https://images.ctfassets.net/zyvr84rwvj68/34O3XfqFR60G6mcU6mooyq/d599d420ba23eedf3751029bce22ff43/Aussie.jpg
Axe,Deodorant brand.,"Axe is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Axe products. Don't sell Axe products. Don't work for Unilever.,Unbranded oil based fragrances. Lush cosmetics. Supermarket own brand products. Sunnamusk.,https://cdn.sanity.io/images/92ui5egz/production/b953900d039e64d54e396b500343f64065fe3f62-280x280.jpg?w=375&h=375&fit=crop&auto=format
Bath & Body Works,"Sells soaps, lotions, fragrances, and candles.","Les Wexner who owns L Brands, the parent company of Bath&Body Works, is a staunch ally of Israel, and a long time business partner of Jeffrey Epstein, the convicted child trafficker.",https://www.timesofisrael.com/the-relationship-between-epstein-and-jewish-philanthropist-wexner-explained/,Don't buy Bath&Body Works products. Don't work for Bath&Body Works.,Lush cosmetics. Unbranded oil based perfumes. Sunnamusk.,https://i.pinimg.com/originals/b1/df/c2/b1dfc2670f0ba2913a3aaca3b12630ae.jpg
Benefit Cosmetics,Cosmetics brand owned by LVMH,LVMH owner Bernard Arnault invests in Israeli companies,https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Benefit Costmetics products. Don't sell Benefit Costmetics products. Don't work for Benefit Costmetics.,Lush cosmetics. Huda beauty.,https://i.pinimg.com/originals/65/91/ac/6591ace8410edaa621889844694846ad.png
BIOTHERM,"Beauty brand, owned by L'Oreal.","BIOTHERM is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy BIOTHERM products. Don't sell BIOTHERM products. Don't work for L'Oreal Groupe.,Lush cosmetics.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0000/0889/brand.gif
Bobbi Brown,"Cosmetics company, owned by Estee Lauder.","Bobbi Brown is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Huda beauty.,https://yt3.googleusercontent.com/ytc/APkrFKYxzT0Ta2tKaKQmlN707g61WXokGqJK1oaGZHFmVw=s900-c-k-c0x00ffffff-no-rj
Bulgari / Bvlgari,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Bulgari's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Bulgari products. Don't sell Bulgari products. Don't work for Bulgari or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://i.pinimg.com/474x/7f/c8/da/7fc8da6228e191ea00825ce5f374e565.jpg
Celine,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Celine's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Celine products. Don't sell Celine products. Don't work for Celine or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://fashionista.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU4MTczNTkyNjAzODYyMzEz/hedi-slimane-celine-new-logo.jpg
Cerave,Skincare brand owned by L'Oreal,"Cerave is owned by L'Oreal. L'Oreal is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Cerave products. Don't sell Cerave products. Don't work for L'Oreal.,Lush cosmetics. Huda beauty.,https://skinmiles.com/wp-content/uploads/2023/10/CeraVe-logo-brand-page-300x300.jpg
Chanel,French luxury fashion house in Paris. It is privately owned by the Wertheimer family.,"Alain Wertheimer, condemned the attack on Israel but remained silent on the attacks on Gaza, also pledged $4m in Chanel's name.",https://www.universityoffashion.com/blog/#:~:text=Chanel%20was%20donating%20%244%20million,"Dont buy Chanel clothing, make up, shoes, perfumes, bags or any other products. Don't sell Chanel products. Don't work for Chanel.",Lush cosmetics. Huda beauty. Sunnamusk. Unbranded oil based perfumes.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/102013/chanel_black.png
Clinique,"Cosmetics company, owned by Estee Lauder.","Clinique is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Huda beauty.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0001/5427/brand.gif?Gt6PPdgJuur6AEtnU2Im_sunXs3XuZbo&itok=o_eLBdUe
Diesel Frangrances,Partnership between fashion house Diesel and L'Oreal to produce their frangrances range.,"Diesel Frangrances is a partnership with L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Diesel Frangrances products. Don't sell Diesel Frangrances products. Don't work for L'Oreal Groupe.,Unbranded oil based perfumes. Sunnamusk.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0012/4528/brand.gif
Dior / Christian Dior,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Dior's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Dior products. Don't sell Dior products. Don't work for Dior or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://dynl.mktgcdn.com/p/KfI5g-nDtylqhtl1RdhWzG0DMJ7sGl0lGfr3EARlPtQ/500x500.jpg
DKNY,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of DKNY's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy DKNY products. Don't sell DKNY products. Don't work for DKNY or LVMH.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://cdn.freebiesupply.com/logos/thumbs/2x/dkny-2-logo.png
Dove,Skincare brand owned by Unilever.,"Dove is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Dove products. Don't sell Dove products. Don't work for Unilever.,Supermarket own brand products. Lush cosmetics.,https://cdn.sanity.io/images/92ui5egz/production/db75ae243befa00aa3cdb2eaf546b0c3aa2ab5d2-1080x1080.jpg?w=375&h=375&fit=crop&auto=format
Estee Lauder,"Cosmetics company, manufacturer and marketer of makeup, skincare, perfume, and hair care products.","Ronald Lauder, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the World Jewish Congress, and chairman of the Jewish National Fund, and is a zionist with extremist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Huda beauty. Unbranded oil based perfumes. Sunnamusk.,https://logowik.com/content/uploads/images/550_estee_lauder.jpg
Fendi,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Fendi's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Fendi products. Don't sell Fendi products. Don't work for Fendi or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://i.pinimg.com/originals/c4/6a/bc/c46abcf81b48d73f67a371033f2a8699.png
Fenty Beauty by Rihanna,"A cosmetics brand part owned by Rihanna and part owned by Bernard Arnaults company, LVMH","The owner of Fenty's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Fenty products. Don't sell Fenty products. Don't work for Fenty or LVMH.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://seeklogo.com/images/F/fenty-logo-C76A749839-seeklogo.com.png
Garnier,"Natural care brand, owned by L'Oreal.","Garnier is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Garnier products. Don't sell Garnier products. Don't work for L'Oreal Groupe.,"Supermarket own brand products. Eg. Aldi, Lidl. Lush cosmetics.",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/072019/garnier_logo.jpg?Hc_rMssrG43ZcRMFKa6QdUcGRKyr5oP8&itok=TPiNcSQp
Giorgio Armani Beauty,Partnership between fashion house Giorgio Armani and L'Oreal to produce their beauty range.,"Giorgio Armani Beauty is a partnership with L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Giorgio Armani Beauty products. Don't sell Giorgio Armani Beauty products. Don't work for L'Oreal Groupe.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTihVZ6h9Are1xzGGeBlltY1uVSlkblolMzowx4AV7hEXFYMawBy7krb_Ut0Tm7w8RfgNw&usqp=CAU
Givenchy,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Givenchy's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Givenchy products. Don't sell Givenchy products. Don't work for Givenchy or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://i.pinimg.com/originals/3d/a0/35/3da0354353d0d7dc17f95af8ebc3efb8.png
Head and Shoulders,Hair care brand.,"Head and Shoulders is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy head and shoulders products. Don't sell head and shoulders products. Don't work for head and shoulders.,Supermarket own brand products.,https://logowik.com/content/uploads/images/head-shoulders7079.jpg
Herbal Essences,Hair care brand.,"Herbal essences is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy herbal essences products. Don't sell herbal essences products. Don't work for herbal essences.,Supermarket own brand products.,https://crueltyfree.peta.org/wp-content/uploads/herbal-essences-scaled.jpg
IT Cosmetics,"Beauty brand, owned by L'Oreal.","IT Cosmetics is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy IT Cosmetics products. Don't sell IT Cosmetics products. Don't work for L'Oreal Groupe.,Lush cosmetics. Huda beauty.,https://crueltyfree.peta.org/wp-content/uploads/it-cosmetics-logo.jpg
Jo Malone,"Cosmetics company, owned by Estee Lauder.","Jo Malone is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Sunnamusk.,https://image.isu.pub/170203184809-3d22cddc0d5e27dd1d0ea2ce32b57baf/jpg/page_1.jpg
Kenzo,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Kenzo's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Kenzo products. Don't sell Kenzo products. Don't work for Kenzo or LVMH.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://logowik.com/content/uploads/images/kenzo8232.jpg
Keratase,Skincare brand owned by L'Oreal,"Keratase is owned by L'Oreal. L'Oreal is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Keratase products. Don't sell Keratase products. Don't work for L'Oreal.,Lush cosmetics. Huda beauty.,https://static.couponfollow.com/kerastase-ca/logo.png
Kiehl's,"Beauty brand, owned by L'Oreal.","Kiehl's is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Kiehl's products. Don't sell Kiehl's products. Don't work for L'Oreal Groupe.,Lush cosmetics. Huda beauty.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0023/3652/brand.gif
Kylie Cosmetics,Cosmetics brand by Kylie Jenner,Kylie posted that she stands with Israel before deleting it following backlash from followers. ,https://www.dailymail.co.uk/tvshowbiz/article-12607295/Kylie-Jenner-posts-deletes-Instagram-Story-showing-support-Israel.html,Don't buy Kylie Jenners products. Don't sell Kylie Jenners products. Don't work for Kylie Jenners.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://miro.medium.com/v2/resize:fit:1000/1*gSiQUzv3VJq8DVtMiwX93Q.jpeg
