Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Agoda,Agoda is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Agoda, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Agoda. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Agoda. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2019/10/bkng_brands-fullyopen-agoda-1.svg
Airbnb,Airbnb is a platform for renting out properties.,"Airbnb allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/,Don't rent property on Airbnb. Don't list property on Airbnb. Delete the Airbnb app. Don't work for Airbnb.,halalbooking.com.,https://s.yimg.com/uu/api/res/1.2/Bz8iDlw16Zf6PVc.y33xdg--~B/aD0zOTA7dz02MTA7YXBwaWQ9eXRhY2h5b24-/http://globalfinance.zenfs.com/Finance/US_AHTTP_ENTREPRENEUR_H_NEW_LIVE/1405612741-airbnb-why-new-logo_original.jpg
Amazon,Computer technology company,Amazon is investing $7.2bn in data centers in israel via AWS,https://www.reuters.com/technology/amazon-invest-72-bln-israel-launches-aws-cloud-region-2023-08-01/,Don't spend money on amazon products including AWS. Do not work for Amazon. Do not buy Kindle books and other content from Amazon. Cancel your Amazon prime membership.,eBay (unverified).,https://1000logos.net/wp-content/uploads/2016/10/Amazon-logo-meaning.jpg
Booking.com,Booking.com is a platform for renting out properties.,"Booking.com allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't rent property on Booking.com. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list property on Booking.com. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2020/11/bkng_brands-fullyopen-booking.com_-1.svg
Carrefour,International supermarket,"Carrefour made huge investments into Israel last year, opening 50 stores and is planning to open a further 100 by 2024.",https://www.carrefour.com/en/news/2023/arrivee-de-carrefour-en-israel,Dont shop at Carrefour supermarkets. Don't work for Carrefour.,Local supermarkets.,https://logowik.com/content/uploads/images/210_carrefour.jpg
Cheapflights,Cheapflights is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Cheapflights, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Cheapflights. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Cheapflights. Don't work for Booking Holdings.,"Use the site to find a flight, and book directly with airline.",https://www.cheapflights.co.uk/news/wp-content/uploads/sites/138/2020/03/default-post-thumbnail-1640x1312.png
Dell,Computer technology company,"Michael Dell, the founder of Dell, is a member of the Friends of the IDF, which raises money for the Israeli military. He has donated millions so far and continues to do so. ",https://www.bloomberg.com/news/articles/2014-11-07/ellison-adelson-donate-to-israeli-soldiers?leadSource=uverify%20wall,"Dont buy Dell products. Don't sell Dell products. If you are a company decision maker, find alternatives to Dell products.",Lenovo.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Dell_logo_2016.svg/1200px-Dell_logo_2016.svg.png
Disney,"The Walt Disney Company, commonly known as Disney, is an American multinational mass media and entertainment conglomerate ","Disney made an official announcement that it will be pledging $2m and further initiatives to support Israel. Whilst the CEO explicitly condemned attacks on Jews in Israel, he made no mention of the Palestinian people who are being killed by the Israeli military.",https://www.yahoo.com/entertainment/disney-pledges-2-million-donation-032004758.html,Don't work for Disney. Don't subscribe to Disney+. Cancel Disney+ if you have it. Don't watch Disney movies. Don't visit Disney theme parks. Don't buy Disney merchandise. Don't watch Disney TV shows.,Alchemiya.com.,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/02/Disney-Plus-logo-920x518.jpg
Fiverr,"Israeli owned freeelance marketplace. Based in Tel Aviv, Israel.","CEO, Micha Kaufman, is a staunch zionist who supports the IDF.",https://twitter.com/michakaufman,Don't use Fiverr to purchase or offer services. Don't work for Fiverr.,Upwork.,https://mms.businesswire.com/media/20230510006090/en/827135/22/Fiverr_September_2020_Logo.jpg
Google,Computer technology company,Google and Amazon jointly won the Project Nimbus contract to provide cloud services to the Israeli military. This is a $1.2bn contract that will be used to continue the oppression of Palestinians.,https://www.theguardian.com/commentisfree/2021/oct/12/google-amazon-workers-condemn-project-nimbus-israeli-military-contra,Only use free Google products and if there is no alternative. Do not click on Google ads. Do not spend on Google ads or use Google adsense. Do not buy Google products. Don't work for Google.,Don't click on ads. DuckDuckGo.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/1200px-Google_%22G%22_Logo.svg.png
