Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
American Eagle,American clothing and accessories retailer headquartered at SouthSide Works in Pittsburgh.,American Eagle posted an image of the Israeli Flag on their flagship billboard in Times Square showing their support for the apartheid state.,https://www.linkedin.com/posts/craig-brommers-616b1b1_our-updated-american-eagle-times-square-flagship-activity-7116923792202833920-jt6L?utm_source=share&utm_medium=member_desktop,Dont buy products from American Eagle Outfitters. Don't work for American Eagle Outfitters.,Buy non designer products.,https://logowik.com/content/uploads/images/american-eagle-outfitters7114.jpg
Bulgari / Bvlgari,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Bulgari's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Bulgari products. Don't sell Bulgari products. Don't work for Bulgari or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://i.pinimg.com/474x/7f/c8/da/7fc8da6228e191ea00825ce5f374e565.jpg
Carrefour,International supermarket,"Carrefour made huge investments into Israel last year, opening 50 stores and is planning to open a further 100 by 2024.",https://www.carrefour.com/en/news/2023/arrivee-de-carrefour-en-israel,Dont shop at Carrefour supermarkets. Don't work for Carrefour.,Local supermarkets.,https://logowik.com/content/uploads/images/210_carrefour.jpg
Caterpillar,"Heavy machinery manufacturer, which also manufactures footwear and clothing.",Caterpillar bulldozers have been used in the demolition of Palestinian homes. The D9 bulldozer was specifically designed for the IDF.,https://en.wikipedia.org/wiki/IDF_Caterpillar_D9,Don't buy Caterpillar clothes or machinery. Don't sell Caterpillar clothes or machinery. Don't work for Caterpillar.,,https://1000logos.net/wp-content/uploads/2016/11/Colors-of-the-caterpillar-logo.jpg
Celine,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Celine's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Celine products. Don't sell Celine products. Don't work for Celine or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://fashionista.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU4MTczNTkyNjAzODYyMzEz/hedi-slimane-celine-new-logo.jpg
Chanel,French luxury fashion house in Paris. It is privately owned by the Wertheimer family.,"Alain Wertheimer, condemned the attack on Israel but remained silent on the attacks on Gaza, also pledged $4m in Chanel's name.",https://www.universityoffashion.com/blog/#:~:text=Chanel%20was%20donating%20%244%20million,"Dont buy Chanel clothing, make up, shoes, perfumes, bags or any other products. Don't sell Chanel products. Don't work for Chanel.",Lush cosmetics. Huda beauty. Sunnamusk. Unbranded oil based perfumes.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/102013/chanel_black.png
Diesel Frangrances,Partnership between fashion house Diesel and L'Oreal to produce their frangrances range.,"Diesel Frangrances is a partnership with L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Diesel Frangrances products. Don't sell Diesel Frangrances products. Don't work for L'Oreal Groupe.,Unbranded oil based perfumes. Sunnamusk.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0012/4528/brand.gif
Dior / Christian Dior,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Dior's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Dior products. Don't sell Dior products. Don't work for Dior or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://dynl.mktgcdn.com/p/KfI5g-nDtylqhtl1RdhWzG0DMJ7sGl0lGfr3EARlPtQ/500x500.jpg
DKNY,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of DKNY's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy DKNY products. Don't sell DKNY products. Don't work for DKNY or LVMH.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.,https://cdn.freebiesupply.com/logos/thumbs/2x/dkny-2-logo.png
Fendi,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Fendi's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Fendi products. Don't sell Fendi products. Don't work for Fendi or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.,https://i.pinimg.com/originals/c4/6a/bc/c46abcf81b48d73f67a371033f2a8699.png
