Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Aviva,Britains largest general insurer and a leading life and pensions provider.,Aviva invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't keep your pension with Aviva. Don't use Aviva insurance products. Don't work for Aviva.,Search for local ethical investment providers and insurers.,https://i0.wp.com/fourteenten.com/wp-content/uploads/2017/03/AVIVA-Client-Logo-Image.png
AXA,AXA is a French multinational insurance firm.,AXA continues to invest in Israeli banks which are complicit in Israels occupation and apartheid in Palestine.,https://bdsmovement.net/news/axa-continues-investments-in-israeli-apartheid-boycott-axa-now,"Don't take insurance from Axa. If you already have AXA insurance, switch as soon as you can. Don't work for AXA.",,https://www.tabletalkmedia.co.uk/wp-content/uploads/2015/03/axa.png
Bank of America,American multinational investment bank and financial services provider,"Bank of America was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Bank of America. Don't work for Bank of America. Don't invest with Bank of America.,,https://icons.veryicon.com/png/o/business/bank-logo-collection/bank-of-america-logo.png
Bank of Montreal,Canadian multinational investment bank and financial services company,"Bank of Montreal lent $90 million as part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Bank of Montreal. Don't work for Bank of Montreal. Don't invest with Bank of Montreal.,,https://bayviewleasidebia.com/wp-content/uploads/2022/08/BMO.png
Barclays,"British multinational universal bank, headquartered in London.",Barclays invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with Barclays. Close your Barclays accounts. Don't use Barclays lending options. Cancel your Barclaycard. Don't work for Barclays.,TSB Bank. Monzo Bank.,https://www.openbanking.org.uk/wp-content/uploads/2021/04/Barclays-Bank-logo.png
BNP Paribas,French multinational universal bank and financial services holding company,"BNP Paribas was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with BNP Paribas. Don't work for BNP Paribas. Don't invest with BNP Paribas.,,https://www.fintechfutures.com/files/2017/04/BNP-Paribas.png
Capital One,"American bank specializing in credit cards, car loans, banking, and savings accounts","Capital One was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Capital One. Don't work for Capital One. Don't invest with Capital One.,,https://www.capitalone.co.uk/cloud_assets/png/capital-one-logo.png
HSBC,"British multinational universal bank and financial service provider, headquartered in London.",HSBC invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with HSBC. Close your HSBC accounts. Don't use HSBC lending options. Cancel your HSBC credit cards. Don't work for HSBC.,TSB Bank. Monzo Bank.,https://www.hsbc.co.uk/etc.clientlibs/dpws/clientlibs-public/clientlib-site/resources/social/logo/Square-1200x1200px.jpg
Legal & General,British multinational financial services and asset management company headquartered in London.,Legal & General invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't invest with Legal & General. Don't keep your pension with Legal & General. Don't use Legal & General insurance products. Don't work for Legal & General.,,https://upload.wikimedia.org/wikipedia/commons/3/37/L%26G_Logo_4C_2023.png
Lloyds Bank,British retail and commercial bank with branches across England and Wales.,Lloyds invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with Lloyds. Close your Lloyds accounts. Don't use Lloyds lending options. Cancel your Lloyds credit cards. Don't work for Lloyds.,TSB Bank. Monzo.,https://www.lloydsbankinggroup.com/assets/images/site-wide/logos/png/lloyds-bank-300.png
Marks and Spencer / M&S,"British multinational retailer that specialises in selling clothing, beauty products, home products and food products.","Marks & Spencer has been a pro zionist entity since its inception, with various members of its management openly declaring support for the zionist state. For over 100 years, they have been the biggest commercial conduit between Israel and the UK. More recently however, they have publicly distanced themselves from having 'political' ties and aims. And since the last statements in support of Israel were around the year 2000, it is difficult to tell how much their leadership supports Israel.",https://www.ihrc.org.uk/briefing-a-brief-chronology-of-the-marks-spencer-israel-relationship/,Don't shop at M&S. Don't work for M&S.,Asda. Co-op.,https://corporate.marksandspencer.com/sites/marksandspencer/files/styles/desktop/public/marksandspencer/logos/m-s-logo.png
RBS,Major retail and commercial bank based in Scotland.,RBS invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with RBS. Close your RBS accounts. Don't use RBS lending options. Cancel your RBS credit cards. Don't work for RBS.,TSB Bank. Monzo Bank.,https://www.princessroyaltrainingawards.com/wp-content/uploads/2017/08/Logos-510x288-RBS.jpg
