Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Aero,Aero is a confectionary brand owned by Nestle.,"The owner of the Aero brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Aero products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand alternatives, eg. Aldi, Lidl.",https://www.nestle.com/sites/default/files/styles/thumbnail/public/asset-library/publishingimages/brands/chocolate-confectionery/aero-logo-round.png
Ben & Jerry's,Ice cream brand owned by Unilever.,"Ben & Jerry's is owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Ben & Jerry's products. Don't sell Ben & Jerry's products. Don't work for Unilever.,Supermarket own brand products.,https://cdn.sanity.io/images/92ui5egz/production/bdfd6b3653902d668fa8fa5c430ab63be1676271-280x280.png?w=375&h=375&fit=crop&auto=format
Burger King,International fast food chain,Burger King Israel supports IDF by providing free food and drinks to Israeli militants. See their instagram post (click translate) for reference.,https://www.instagram.com/p/CyORRWHIqeH/,Dont eat at Burger King. Don't work for Burger King.,Eat at local family owned businesses.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Burger_King_logo_%281994%29.svg/2111px-Burger_King_logo_%281994%29.svg.png
Buxton,Buxton is a water brand owned by Nestle.,"The owner of the Buxton brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Buxton products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.nestle.com/sites/default/files/styles/thumbnail/public/buxton-logo-round.png
Carnation,Carnation is a dessert ingredients brand owned by Nestle.,"The owner of the Carnation brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Carnation products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl.",https://www.nestle.com/sites/default/files/styles/thumbnail/public/asset-library/publishingimages/brands/dairy/carnation-logo-round.png
Carrefour,International supermarket,"Carrefour made huge investments into Israel last year, opening 50 stores and is planning to open a further 100 by 2024.",https://www.carrefour.com/en/news/2023/arrivee-de-carrefour-en-israel,Dont shop at Carrefour supermarkets. Don't work for Carrefour.,Local supermarkets.,https://logowik.com/content/uploads/images/210_carrefour.jpg
Carte D'Or Ice Creams,Ice cream brand.,"Carte D'Or Ice Creams is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Carte D'Or Ice Creams products. Don't sell Carte D'Or Ice Creams products. Don't work for Unilever.,"Supermarket own brand products. Eg. Aldi, Lidl.",https://s3.eu-west-2.amazonaws.com/img.creativepool.com/files/candidate/portfolio/full/857631.jpg
Cheerios,Cheerios is a breakfast cereal owned by Nestle.,"The owner of the Cheerios brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Cheerios products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products. Eg. Aldi, Lidl.",https://www.nestle.com/sites/default/files/styles/thumbnail/public/cereals-cheerios-logo.png
Cheetos,Snack brand owned by PepsiCo,"The owner of Cheetos, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Cheetos products. Don't sell Cheetos products. Don't work for the PepsiCo Company.,Supermarket own brand options.,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0010/0838/brand.gif
Cornetto Ice Creams,Ice cream brand.,"Cornetto Ice Creams is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Cornetto Ice Creams products. Don't sell Cornetto Ice Creams products. Don't work for Unilever.,"Supermarket own brand products. Eg. Aldi, Lidl.",https://cdn.sanity.io/images/92ui5egz/production/911b7828e3d316d99652c1e2792bea6e70fbf5df-1080x1080.png?w=375&h=375&fit=crop&auto=format
