Name,Description,Reason,Proof,How to Boycott,Alternatives
7up,"Soft drink, a distributed internationally by PepsiCo","The international distributer of 7up, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy 7up products. Don't sell 7up products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru)."
Acqua Panna,Acqua Panna is a water brand owned by Nestle.,"The owner of the Acqua Panna brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Acqua Panna products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye)."
Aero,Aero is a confectionary brand owned by Nestle.,"The owner of the Aero brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Aero products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand alternatives, eg. Aldi, Lidl."
Aesop,"Beauty brand, owned by L'Oreal.","Aesop is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Aesop products. Don't sell Aesop products. Don't work for L'Oreal Groupe.,Lush cosmetics. Huda beauty.
Agoda,Agoda is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Agoda, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Agoda. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Agoda. Don't work for Booking Holdings.,halalbooking.com.
Ahava,Dead Sea mineral products.,"Ahava is an Israeli company which operates its manufacturing facilities in Occupied Palestine, stealing resources from the Dead Sea.",https://electronicintifada.net/content/boycott-ahava-dead-sea-products-makes-impact/8563,Don't buy Ahava products. Don't sell Ahava products.,Lush cosmetics.
Airbnb,Airbnb is a platform for renting out properties.,"Airbnb allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/,Don't rent property on Airbnb. Don't list property on Airbnb. Delete the Airbnb app. Don't work for Airbnb.,halalbooking.com.
Always,Personal care products.,"Always is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Always products. Don't sell Always products. Don't work for Always.,Supermarket own brand products.
Amazon,Computer technology company,Amazon is investing $7.2bn in data centers in israel via AWS,https://www.reuters.com/technology/amazon-invest-72-bln-israel-launches-aws-cloud-region-2023-08-01/,Don't spend money on amazon products including AWS. Do not work for Amazon. Do not buy Kindle books and other content from Amazon. Cancel your Amazon prime membership.,eBay (unverified).
Ambipur,Household cleaning products.,"Ambipur is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Ambipur products. Don't sell Ambipur products. Don't work for Ambipur.,Supermarket own brand products.
