Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Always,Personal care products.,"Always is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Always products. Don't sell Always products. Don't work for Always.,Supermarket own brand products.,https://images.ctfassets.net/aqfuj2z95p5p/6wCF01XuXegMHkkBZ3hao3/7943e9f78c73c7cc28d8b9bccf329fce/Always_EN_UK_Homepage_Always-logo-OG.jpg
Amika,Hair care brand.,Manufactured on occupied Palestinian land.,https://heatmakessense.zendesk.com/hc/en-us/articles/4406612273563-Where-are-amika-products-made-,Don't buy Amika products. Don't sell Amika products.,Supermarket own brand products. Lush cosmetics.,https://www.loveamika.co.uk/c-images/fb-image.png
Aussie,Hair care brand.,"Aussie is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy aussie products. Don't sell aussie products. Don't work for aussie.,Supermarket own brand products. Lush cosmetics.,https://images.ctfassets.net/zyvr84rwvj68/34O3XfqFR60G6mcU6mooyq/d599d420ba23eedf3751029bce22ff43/Aussie.jpg
Axe,Deodorant brand.,"Axe is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Axe products. Don't sell Axe products. Don't work for Unilever.,Unbranded oil based fragrances. Lush cosmetics. Supermarket own brand products. Sunnamusk.,https://cdn.sanity.io/images/92ui5egz/production/b953900d039e64d54e396b500343f64065fe3f62-280x280.jpg?w=375&h=375&fit=crop&auto=format
Braun,Personal care products.,"Braun is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Braun products. Don't sell Braun products. Don't work for Braun.,Supermarket own brand products.,https://images.easyfundraising.org.uk/retailer/cropped/logo-braun-household-uk-1685708000.jpg
Clear Blue,Pregnancy care products.,"Clear Blue is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Clear Blue products. Don't sell Clear Blue products. Don't work for Clear Blue.,Supermarket own brand products.,https://i.pinimg.com/280x280_RS/e5/76/34/e5763410888540ccff2a9f8d4c18dacc.jpg
Dove,Skincare brand owned by Unilever.,"Dove is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Dove products. Don't sell Dove products. Don't work for Unilever.,Supermarket own brand products. Lush cosmetics.,https://cdn.sanity.io/images/92ui5egz/production/db75ae243befa00aa3cdb2eaf546b0c3aa2ab5d2-1080x1080.jpg?w=375&h=375&fit=crop&auto=format
Gillette,Personal care products.,"Gillette is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Gillette products. Don't sell Gillette products. Don't work for Gillette.,Supermarket own brand products.,https://i.pinimg.com/736x/20/47/b8/2047b8ff614a863dba63d27a54a0a1fb.jpg
Head and Shoulders,Hair care brand.,"Head and Shoulders is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy head and shoulders products. Don't sell head and shoulders products. Don't work for head and shoulders.,Supermarket own brand products.,https://logowik.com/content/uploads/images/head-shoulders7079.jpg
Herbal Essences,Hair care brand.,"Herbal essences is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy herbal essences products. Don't sell herbal essences products. Don't work for herbal essences.,Supermarket own brand products.,https://crueltyfree.peta.org/wp-content/uploads/herbal-essences-scaled.jpg
Lux,Personal care products.,"Lux is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Lux products. Don't sell Lux products. Don't work for Unilever.,Lush cosmetics. Supermarket own brand products.,https://cdn.sanity.io/images/92ui5egz/production/2f8428952599e230782f70a2ca0bfc3e5fa2b270-1080x1080.png?w=375&h=375&fit=crop&auto=format
Lynx,Deodorant brand.,"Lynx is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Lynx products. Don't sell Lynx products. Don't work for Unilever.,Unbranded oil based fragrances. Supermarket own brand products. Sunnamusk.,https://cdn.sanity.io/images/92ui5egz/production/81a3d4dbeb4e81c5c5443bd3616e23b6333428d4-1080x1080.png?w=375&h=375&fit=crop&auto=format
Olay,Hair care brand.,"Olay is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy olay products. Don't sell olay products. Don't work for olay.,Lush cosmetics.,https://1000logos.net/wp-content/uploads/2021/04/Olay-logo.png
Old Spice,Perfume for men.,"Old Spice is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Old Spice products. Don't sell Old Spice products. Don't work for Old Spice.,Unbranded oil based fragrances. Lush cosmetics. Sunnamusk.,https://1000logos.net/wp-content/uploads/2020/04/Logo-Old-Spice1.jpg
Oral B,Dental products by P&G.,"Oral B is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Oral B products. Don't sell Oral B products. Don't work for Oral B.,Supermarket own brand products.,https://shop.oralb.co.uk/c-images/fb-image.png
Pampers,Babies nappy/diaper brand.,"Pampers are made in factories on occupied territory, and is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Pampers products. Don't sell Pampers products. Don't work for Pampers.,Supermarket own brand products.,https://seeklogo.com/images/P/pampers-logo-D613293CC6-seeklogo.com.png
